"Volksabstimmungen (Ergebnisse Ebene Kanton seit 1866)"

"Kanton"	"Datum und Vorlage"	"Stimmberechtigte"	"Ja"	"Ja in %"
"Schweiz"	"21.05.2017 Energiegesetz"	5356575	1322263	58.2
"Schweiz"	"12.02.2017 Unternehmenssteuerreform III"	5344186	989311	40.9
"Schweiz"	"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr"	5344186	1503746	61.9
"Schweiz"	"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration"	5344186	1499627	60.4
"Schweiz"	"27.11.2016 Atomausstiegsinitiative"	5336711	1099409	45.8
"Schweiz"	"25.09.2016 Nachrichtendienstgesetz"	5329183	1459068	65.5
"Schweiz"	"25.09.2016 Initiative «AHVplus: für eine starke AHV»"	5329183	921375	40.6
"Schweiz"	"25.09.2016 Initiative «Grüne Wirtschaft»"	5329183	819770	36.4
"Schweiz"	"05.06.2016 Asylgesetz"	5313287	1616597	66.8
"Schweiz"	"05.06.2016 Fortpflanzungsmedizingesetz"	5313287	1490417	62.4
"Schweiz"	"05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»"	5313287	709974	29.2
"Schweiz"	"05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»"	5313287	568660	23.1
"Schweiz"	"05.06.2016 Initiative «Pro Service public»"	5313287	784303	32.4
"Schweiz"	"28.02.2016 Sanierung Gotthard-Strassentunnel"	5302873	1883859	57.0
"Schweiz"	"28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln"	5302873	1287786	40.1
"Schweiz"	"28.02.2016 Durchsetzungsinitiative"	5302873	1375098	41.1
"Schweiz"	"28.02.2016 Initiative gegen die Heiratsstrafe"	5302873	1609152	49.2
"Schweiz"	"14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe)"	5265120	1128522	50.1
"Schweiz"	"14.06.2015 Initiative «Millionen-Erbschaften besteuern»"	5265120	657851	29.0
"Schweiz"	"14.06.2015 Stipendieninitiative"	5265120	610284	27.5
"Schweiz"	"14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich"	5265120	1377613	61.9
"Schweiz"	"08.03.2015 Initiative «Energie- statt Mehrwertsteuer»"	5254965	175405	8.0
"Schweiz"	"08.03.2015 Initiative «Steuerfreie Kinderzulagen»"	5254965	537795	24.6
"Schweiz"	"30.11.2014 Gold-Initiative"	5247512	580528	22.7
"Schweiz"	"30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»"	5247512	671099	25.9
"Schweiz"	"30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung"	5247512	1053125	40.8
"Schweiz"	"28.09.2014 Initiative «Für eine öffentliche Krankenkasse»"	5240134	933012	38.2
"Schweiz"	"28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»"	5240134	684563	28.5
"Schweiz"	"18.05.2014 Beschaffung des Kampfflugzeugs Gripen"	5221880	1345726	46.6
"Schweiz"	"18.05.2014 Mindestlohn-Initiative"	5221880	687571	23.7
"Schweiz"	"18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»"	5221880	1819822	63.5
"Schweiz"	"18.05.2014 Medizinische Grundversorgung"	5221880	2480870	88.1
"Schweiz"	"09.02.2014 Initiative «Gegen Masseneinwanderung»"	5211681	1463854	50.3
"Schweiz"	"09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»"	5211681	873060	30.2
"Schweiz"	"09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur"	5211681	1776878	62.0
"Schweiz"	"24.11.2013 Nationalstrassenabgabegesetz (NSAG)"	5204062	1087368	39.5
"Schweiz"	"24.11.2013 Familieninitiative"	5204062	1139670	41.5
"Schweiz"	"24.11.2013 Initiative «1:12 - für gerechte Löhne»"	5204062	954787	34.7
"Schweiz"	"22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops"	5195333	1324528	55.8
"Schweiz"	"22.09.2013 Epidemiengesetz"	5195333	1416741	60.0
"Schweiz"	"22.09.2013 Aufhebung der Wehrpflicht"	5195333	644985	26.8
"Schweiz"	"09.06.2013 Asylgesetz"	5184334	1573007	78.4
"Schweiz"	"09.06.2013 «Volkswahl des Bundesrates»"	5184334	480291	23.7
"Schweiz"	"03.03.2013 Raumplanungsgesetz"	5174961	1476942	62.9
"Schweiz"	"03.03.2013 Initiative «gegen die Abzockerei»"	5174961	1616184	68.0
"Schweiz"	"03.03.2013 Familienpolitik"	5174961	1283951	54.3
"Schweiz"	"25.11.2012 Tierseuchengesetz"	5166973	946220	68.3
"Schweiz"	"23.09.2012 «Schutz vor Passivrauchen»"	5160331	741205	34.0
"Schweiz"	"23.09.2012 «Sicheres Wohnen im Alter»"	5160331	1014016	47.4
"Schweiz"	"23.09.2012 Jugendmusikförderung"	5160331	1552045	72.7
"Schweiz"	"17.06.2012 Krankenversicherungsgesetz (Managed Care)"	5149475	466862	23.9
"Schweiz"	"17.06.2012 Initiative «Staatsverträge vors Volk!»"	5149475	480173	24.7
"Schweiz"	"17.06.2012 «Eigene vier Wände dank Bausparen»"	5149475	601449	31.1
"Schweiz"	"11.03.2012 Buchpreisbindung"	5139057	966633	43.9
"Schweiz"	"11.03.2012 Regelung der Geldspiele zugunsten gemeinnütziger Zwecke"	5139057	1916182	87.1
"Schweiz"	"11.03.2012 6 Wochen Ferien für alle"	5139057	771717	33.5
"Schweiz"	"11.03.2012 Für ein steuerlich begünstigtes Bausparen"	5139057	980273	44.2
"Schweiz"	"11.03.2012 Schluss mit uferlosem Bau von Zweitwohnungen!"	5139057	1152598	50.6
"Schweiz"	"13.02.2011 Waffeninitiative"	5092212	1083312	43.7
"Schweiz"	"28.11.2010 Steuergerechtigkeits-Initiative"	5083921	1073229	41.5
"Schweiz"	"28.11.2010 Gegenentwurf zur Ausschaffungsinitiative"	5083921	1189269	45.8
"Schweiz"	"28.11.2010 Ausschaffungsinitiative"	5083921	1397923	52.9
"Schweiz"	"26.09.2010 Revision des Arbeitslosenversicherungsgesetzes"	5077180	958913	53.4
"Schweiz"	"07.03.2010 Berufliche Vorsorge: Anpassung des Mindestumwandlungssatzes"	5051316	617209	27.3
"Schweiz"	"07.03.2010 Tierschutzanwalt-Initiative"	5051316	671731	29.5
"Schweiz"	"07.03.2010 Forschung am Menschen"	5051316	1708488	77.2
"Schweiz"	"29.11.2009 Verbot von Minaretten"	5039710	1535010	57.5
"Schweiz"	"29.11.2009 Verbot von Kriegsmaterial-Exporten"	5039710	837156	31.8
"Schweiz"	"29.11.2009 Spezialfinanzierung für Aufgaben im Luftverkehr"	5039710	1609682	65.0
"Schweiz"	"27.09.2009 Verzicht auf die Einführung der allgemeinen Volksinitiative"	5030938	1307237	67.9
"Schweiz"	"27.09.2009 IV-Zusatzfinanzierung"	5030938	1112818	54.6
"Schweiz"	"17.05.2009 Biometrische Pässe"	5011176	953173	50.1
"Schweiz"	"17.05.2009 Verfassungsartikel zur Komplementärmedizin"	5011176	1283893	67.0
"Schweiz"	"08.02.2009 Personenfreizügigkeit Schweiz-EU"	4999664	1517132	59.6
"Schweiz"	"30.11.2008 Betäubungsmittelgesetz"	4993100	1541928	68.1
"Schweiz"	"30.11.2008 Hanfinitiative"	4993100	846985	36.7
"Schweiz"	"30.11.2008 Verbandsbeschwerderechts-Initiative"	4993100	773467	34.0
"Schweiz"	"30.11.2008 Initiative für ein flexibles AHV-Alter"	4993100	970221	41.4
"Schweiz"	"30.11.2008 Unverjährbarkeit pornografischer Straftaten an Kindern"	4993100	1206323	51.9
"Schweiz"	"01.06.2008 Gesundheitsartikel"	4969834	661310	30.5
"Schweiz"	"01.06.2008 Initiative «gegen Behördenprogaganda»"	4969834	538926	24.8
"Schweiz"	"01.06.2008 Einbürgerungsinitiative"	4969834	804728	36.2
"Schweiz"	"24.02.2008 Unternehmenssteuerreform II"	4957778	938742	50.5
"Schweiz"	"24.02.2008 Initiative gegen Kampfjetlärm"	4957778	601070	31.9
"Schweiz"	"17.06.2007 5. IV-Revision"	4929139	1039282	59.1
"Schweiz"	"11.03.2007 Einheitskrankenkasse"	4914448	641917	28.8
"Schweiz"	"26.11.2006 Familienzulagen"	4902608	1480796	68.0
"Schweiz"	"26.11.2006 Ostzusammenarbeit"	4902608	1158494	53.4
"Schweiz"	"24.09.2006 Asylgesetz"	4893738	1598552	67.8
"Schweiz"	"24.09.2006 Ausländergesetz"	4893738	1602134	68.0
"Schweiz"	"24.09.2006 KOSA-Initiative"	4893738	973831	41.7
"Schweiz"	"21.05.2006 Bildungsartikel"	4877742	1137450	85.6
"Schweiz"	"27.11.2005 Sonntagsarbeit"	4859437	1026833	50.6
"Schweiz"	"27.11.2005 Gentechfrei-Initiative"	4859437	1125835	55.7
"Schweiz"	"25.09.2005 Ausdehnung der Personenfreizügigkeit"	4852272	1458686	56.0
"Schweiz"	"05.06.2005 Partnerschaftsgesetz"	4836712	1559848	58.0
"Schweiz"	"05.06.2005 Abkommen zu Schengen und Dublin"	4836712	1477260	54.6
"Schweiz"	"28.11.2004 Stammzellenforschungsgesetz"	4819855	1156706	66.4
"Schweiz"	"28.11.2004 Neue Finanzordnung"	4819855	1258895	73.8
"Schweiz"	"28.11.2004 Neugestaltung Finanzausgleich"	4819855	1104565	64.4
"Schweiz"	"26.09.2004 Erwerbsersatz für Dienstleistende und bei Mutterschaft"	4814035	1417159	55.5
"Schweiz"	"26.09.2004 Postdienst für alle"	4814035	1247771	49.8
"Schweiz"	"26.09.2004 Bürgerrechtserwerb für die dritte Generation"	4814035	1238912	48.4
"Schweiz"	"26.09.2004 Erleichterte Einbürgerung von Jugendlichen der zweiten Generation"	4814035	1106529	43.2
"Schweiz"	"16.05.2004 Steuerpaket"	4798197	821475	34.1
"Schweiz"	"16.05.2004 Anhebung der Mehrwertsteuer für AHV/IV"	4798197	756550	31.4
"Schweiz"	"16.05.2004 11. AHV-Revision"	4798197	772773	32.1
"Schweiz"	"08.02.2004 Initiative zur Verwahrung gefährlicher Straftäter"	4788961	1198867	56.2
"Schweiz"	"08.02.2004 Mietrecht"	4788961	755561	35.9
"Schweiz"	"08.02.2004 Gegenentwurf zur Avanti-Initiative"	4788961	800632	37.2
"Schweiz"	"18.05.2003 Lehrstelleninitiative"	4764659	722931	31.6
"Schweiz"	"18.05.2003 Moratorium Plus"	4764659	955624	41.6
"Schweiz"	"18.05.2003 Strom ohne Atom"	4764659	783586	33.7
"Schweiz"	"18.05.2003 Gleiche Rechte für Behinderte"	4764659	870249	37.7
"Schweiz"	"18.05.2003 Gesundheitsinitiative"	4764659	625073	27.1
"Schweiz"	"18.05.2003 Sonntagsinitiative"	4764659	881953	37.6
"Schweiz"	"18.05.2003 Ja zu fairen Mieten"	4764659	749388	32.7
"Schweiz"	"18.05.2003 Zivilschutz"	4764659	1829339	80.6
"Schweiz"	"18.05.2003 Armee XXI"	4764659	1718452	76.0
"Schweiz"	"09.02.2003 Kantonale Beiträge an Spitalbehandlungen"	4755703	1028673	77.4
"Schweiz"	"09.02.2003 Änderung Volksrechte"	4755703	934005	70.4
"Schweiz"	"24.11.2002 Arbeitslosenversicherungsgesetz"	4749994	1234793	56.1
"Schweiz"	"24.11.2002 Gegen Asylrechtsmissbrauch"	4749994	1119342	49.9
"Schweiz"	"22.09.2002 Elektrizitätsmarktgesetz"	4744197	972770	47.4
"Schweiz"	"22.09.2002 Gold für AHV, Kantone und Stiftung"	4744197	984537	48.2
"Schweiz"	"22.09.2002 Goldinitiative"	4744197	984058	47.6
"Schweiz"	"02.06.2002 Für Mutter und Kind"	4730594	352432	18.2
"Schweiz"	"02.06.2002 Fristenregelung"	4730594	1399545	72.2
"Schweiz"	"03.03.2002 Kürzere Arbeitszeit"	4721422	686935	25.4
"Schweiz"	"03.03.2002 UNO-Beitritt"	4721422	1489110	54.6
"Schweiz"	"02.12.2001 Kapitalgewinnsteuer"	4712583	594927	34.1
"Schweiz"	"02.12.2001 Ziviler Friedensdienst"	4712583	404870	23.2
"Schweiz"	"02.12.2001 Schweiz ohne Armee"	4712583	384905	21.9
"Schweiz"	"02.12.2001 Energie statt Arbeit besteuern"	4712583	397747	22.9
"Schweiz"	"02.12.2001 Schuldenbremse"	4712583	1472259	84.7
"Schweiz"	"10.06.2001 Aufhebung Bistumsartikel"	4698399	1194556	64.2
"Schweiz"	"10.06.2001 Militärgesetz: Ausbildungszusammenarbeit"	4698399	1001274	51.1
"Schweiz"	"10.06.2001 Militärgesetz: Bewaffnung"	4698399	1002297	51.0
"Schweiz"	"04.03.2001 Strassen für alle"	4688461	525609	20.3
"Schweiz"	"04.03.2001 Arzneimittel-Initiative"	4688461	791589	30.9
"Schweiz"	"04.03.2001 Ja zu Europa!"	4688461	597217	23.2
"Schweiz"	"26.11.2000 Bundespersonalgesetz"	4681043	1253995	66.8
"Schweiz"	"26.11.2000 Spitalkosteninitiative"	4681043	343008	17.9
"Schweiz"	"26.11.2000 Umverteilungsinitiative"	4681043	723047	37.6
"Schweiz"	"26.11.2000 Rentenalter ab 62 für Frau und Mann"	4681043	885772	46.0
"Schweiz"	"26.11.2000 Flexibilisierung der AHV"	4681043	756337	39.5
"Schweiz"	"24.09.2000 Konstruktives Referendum"	4676482	676776	34.1
"Schweiz"	"24.09.2000 Regelung der Zuwanderung"	4676482	754626	36.2
"Schweiz"	"24.09.2000 Umweltabgabe"	4676482	898050	44.5
"Schweiz"	"24.09.2000 Förderabgabe"	4676482	922481	46.6
"Schweiz"	"24.09.2000 Solarinitiative"	4676482	636848	31.8
"Schweiz"	"21.05.2000 Bilaterale Abkommen mit der EU"	4664482	1497093	67.2
"Schweiz"	"12.03.2000 Verkehrshalbierungs-Initiative"	4659124	415605	21.3
"Schweiz"	"12.03.2000 Menschenwürdige Fortpflanzung"	4659124	539795	28.2
"Schweiz"	"12.03.2000 Quoten-Initiative"	4659124	346314	18.0
"Schweiz"	"12.03.2000 Beschleunigungs-Initiative"	4659124	573038	30.0
"Schweiz"	"12.03.2000 Justizreform"	4659124	1610107	86.4
"Schweiz"	"13.06.1999 Mutterschaftsversicherung"	4646362	822458	39.0
"Schweiz"	"13.06.1999 Invalidenversicherung"	4646362	620797	30.3
"Schweiz"	"13.06.1999 Verschreibung von Heroin"	4646362	1128393	54.4
"Schweiz"	"13.06.1999 Massnahmen Asyl- und Ausländerbereich"	4646362	1447984	70.8
"Schweiz"	"13.06.1999 Asylgesetz"	4646362	1443137	70.6
"Schweiz"	"18.04.1999 Neue Bundesverfassung"	4642854	969310	59.2
"Schweiz"	"07.02.1999 Raumplanungsgesetz"	4641615	952482	55.9
"Schweiz"	"07.02.1999 Wohneigentums-Initiative"	4641615	721717	41.3
"Schweiz"	"07.02.1999 Transplantationsmedizin"	4641615	1501925	87.8
"Schweiz"	"07.02.1999 Wählbarkeit in den Bundesrat"	4641615	1287081	74.7
"Schweiz"	"29.11.1998 Arbeitsgesetz"	4638920	1072978	63.4
"Schweiz"	"29.11.1998 Vernünftige Drogenpolitik"	4638920	453451	26.0
"Schweiz"	"29.11.1998 Getreideartikel"	4638920	1318585	79.4
"Schweiz"	"29.11.1998 Finanzierung öffentlicher Verkehr (FinöV)"	4638920	1104294	63.5
"Schweiz"	"27.09.1998 10. AHV-Revision ohne Erhöhung Rentenalter"	4636259	973966	41.5
"Schweiz"	"27.09.1998 Kleinbauern-Initiative"	4636259	535436	23.0
"Schweiz"	"27.09.1998 Leistungsabhängige Schwerverkehrsabgabe (LSVA)"	4636259	1355735	57.2
"Schweiz"	"07.06.1998 S.o.S.-Initiative"	4629496	451089	24.6
"Schweiz"	"07.06.1998 Gen-Schutz-Initiative"	4629496	624964	33.3
"Schweiz"	"07.06.1998 Haushaltsziel 2001"	4629496	1280329	70.7
"Schweiz"	"28.09.1997 Jugend ohne Drogen"	4620084	545713	29.3
"Schweiz"	"28.09.1997 Finanzierung der Arbeitslosenversicherung"	4620084	901361	49.2
"Schweiz"	"08.06.1997 Aufhebung Pulverregal"	4614662	1268162	82.2
"Schweiz"	"08.06.1997 Kriegsmaterial-Initiative"	4614662	361164	22.5
"Schweiz"	"08.06.1997 EU-Beitrittsverhandlungen vors Volk"	4614662	416720	25.9
"Schweiz"	"01.12.1996 Arbeitsgesetz"	4612266	697874	33.0
"Schweiz"	"01.12.1996 Gegen die illegale Einwanderung"	4612266	982867	46.3
"Schweiz"	"09.06.1996 Regierungs- und Verwaltungsorganisationsgesetz"	4602577	544630	39.4
"Schweiz"	"09.06.1996 Landwirtschaftsartikel"	4602577	1086534	77.6
"Schweiz"	"10.03.1996 Aufhebung Beiträge an Bahnhofparkplätze"	4599427	741219	53.9
"Schweiz"	"10.03.1996 Übernahme von Branntwein und Brennapparaten"	4599427	1090783	80.8
"Schweiz"	"10.03.1996 Persönliche militärische Ausrüstung"	4599427	601613	43.7
"Schweiz"	"10.03.1996 Übertritt Vellerat zum Kanton Jura"	4599427	1250728	91.6
"Schweiz"	"10.03.1996 Sprachenartikel"	4599427	1052052	76.2
"Schweiz"	"25.06.1995 Erwerb von Grundstücken durch Ausländer"	4591795	834673	46.4
"Schweiz"	"25.06.1995 Ausbau von AHV und IV"	4591795	499266	27.6
"Schweiz"	"25.06.1995 10. AHV-Revision"	4591795	1110053	60.7
"Schweiz"	"12.03.1995 Ausgabenbremse"	4583930	1390831	83.4
"Schweiz"	"12.03.1995 Landwirtschaftsgesetz"	4583930	569950	33.6
"Schweiz"	"12.03.1995 Milchwirtschaftsbeschluss"	4583930	620745	36.5
"Schweiz"	"12.03.1995 Landwirtschaftsartikel"	4583930	836215	49.1
"Schweiz"	"04.12.1994 Zwangsmassnahmen im Ausländerrecht"	4580035	1435040	72.9
"Schweiz"	"04.12.1994 Für eine gesunde Krankenversicherung"	4580035	460674	23.4
"Schweiz"	"04.12.1994 Krankenversicherungsgesetz"	4580035	1021175	51.8
"Schweiz"	"25.09.1994 Antirassismusgesetz"	4576512	1132662	54.6
"Schweiz"	"25.09.1994 Aufhebung Brotgetreideverbilligung"	4576512	1288697	64.6
"Schweiz"	"12.06.1994 UNO-Blauhelme"	4572713	899626	42.8
"Schweiz"	"12.06.1994 Erleichterte Einbürgerung für junge Ausländer"	4572713	1114158	52.8
"Schweiz"	"12.06.1994 Kulturförderungsartikel"	4572713	1059025	51.0
"Schweiz"	"20.02.1994 Luftfahrtgesetz"	4567573	1081844	61.1
"Schweiz"	"20.02.1994 Alpen-Initiative"	4567573	954491	51.9
"Schweiz"	"20.02.1994 Einführung leistungsabhängige Schwerverkehrsabgabe"	4567573	1221630	67.1
"Schweiz"	"20.02.1994 Weiterführung Schwerverkehrsabgabe"	4567573	1324242	72.2
"Schweiz"	"20.02.1994 Weiterführung Autobahnvignette"	4567573	1259609	68.5
"Schweiz"	"28.11.1993 Verminderung Tabakprobleme"	4565751	521433	25.5
"Schweiz"	"28.11.1993 Verminderung Alkoholprobleme"	4565751	516054	25.3
"Schweiz"	"28.11.1993 Besondere Verbrauchssteuern"	4565751	1212002	60.6
"Schweiz"	"28.11.1993 Mehrwertsteuer-% für AHV"	4565751	1258782	62.6
"Schweiz"	"28.11.1993 Mehrwertsteuer Satz 6,5%"	4565751	1163887	57.7
"Schweiz"	"28.11.1993 Einführung Mehrwertsteuer"	4565751	1347400	66.7
"Schweiz"	"26.09.1993 Massnahmen in der Arbeitslosenversicherung"	4553754	1225069	70.4
"Schweiz"	"26.09.1993 Befristete Massnahmen in der Krankenversicherung"	4553754	1416209	80.5
"Schweiz"	"26.09.1993 1. August-Initiative"	4553754	1492285	83.8
"Schweiz"	"26.09.1993 Kantonswechsel Laufental zu Basel-Landschaft"	4553754	1188941	75.2
"Schweiz"	"26.09.1993 Waffenmissbrauch"	4553754	1539782	86.3
"Schweiz"	"06.06.1993 Schweiz ohne neue Kampfflugzeuge"	4559258	1074661	42.8
"Schweiz"	"06.06.1993 40 Waffenplätze sind genug"	4559258	1124893	44.7
"Schweiz"	"07.03.1993 Abschaffung der Tierversuche"	4551493	634758	27.8
"Schweiz"	"07.03.1993 Aufhebung Spielbankenverbot"	4551493	1665454	72.5
"Schweiz"	"07.03.1993 Erhöhung Treibstoffzoll"	4551493	1259373	54.5
"Schweiz"	"06.12.1992 EWR-Beitritt"	4546571	1762872	49.7
"Schweiz"	"27.09.1992 Bäuerliches Bodenrecht"	4533617	1058317	53.6
"Schweiz"	"27.09.1992 Stempelabgaben"	4533617	1230579	61.5
"Schweiz"	"27.09.1992 Infrastrukturgesetz"	4533617	590484	30.6
"Schweiz"	"27.09.1992 Entschädigungsgesetz"	4533617	542768	27.6
"Schweiz"	"27.09.1992 Geschätsverkehrsgesetz"	4533617	1097185	58.0
"Schweiz"	"27.09.1992 Alpentransit-Beschluss (NEAT)"	4533617	1305914	63.6
"Schweiz"	"17.05.1992 Reform Sexualstrafrecht"	4519144	1255604	73.1
"Schweiz"	"17.05.1992 Zivildienst für Dienstverweigerer"	4519144	1442263	82.5
"Schweiz"	"17.05.1992 Fortpflanzungs- und Gentechnologie"	4519144	1271052	73.8
"Schweiz"	"17.05.1992 Gewässerschutz-Initiative"	4519144	644083	37.1
"Schweiz"	"17.05.1992 Gewässerschutzgesetz"	4519144	1151706	66.1
"Schweiz"	"17.05.1992 Mitwirkung an den Institutionen von Bretton Woods"	4519144	929926	56.4
"Schweiz"	"17.05.1992 Beitritt zu den Institutionen von Bretton Woods"	4519144	923685	55.8
"Schweiz"	"16.02.1992 Weg vom Tierversuch"	4515485	864898	43.6
"Schweiz"	"16.02.1992 Krankenkasseninitiative"	4515485	772995	39.3
"Schweiz"	"02.06.1991 Militärstrafgesetz"	4499041	817458	55.7
"Schweiz"	"02.06.1991 Neuordnung Bundesfinanzen (Einführung Mehrwertsteuer)"	4499041	664318	45.6
"Schweiz"	"03.03.1991 Förderung öffentlicher Verkehr"	4350879	496600	37.1
"Schweiz"	"03.03.1991 Stimmrecht für 18-jährige"	4350879	981425	72.7
"Schweiz"	"23.09.1990 Strassenverkehrsgesetz"	4345490	898958	52.8
"Schweiz"	"23.09.1990 Energieartikel"	4345490	1214940	71.1
"Schweiz"	"23.09.1990 Moratorium Atomkraftwerkbau"	4345490	946087	54.5
"Schweiz"	"23.09.1990 Ausstieg Atomenergie"	4345490	816300	47.1
"Schweiz"	"01.04.1990 Organisation der Bundesrechtspflege"	4327120	775885	47.4
"Schweiz"	"01.04.1990 Rebbaubeschluss"	4327120	771207	46.7
"Schweiz"	"01.04.1990 Freie Aarelandschaft Biel-Solothurn"	4327120	592237	34.0
"Schweiz"	"01.04.1990 Autobahnfreies Kononauer Amt"	4327120	547359	31.4
"Schweiz"	"01.04.1990 Autobahnfreie Landschaft Murten-Yverdon"	4327120	571648	32.7
"Schweiz"	"01.04.1990 Begrenzung des Strassenbaus"	4327120	500615	28.5
"Schweiz"	"26.11.1989 Pro Tempo 130/100"	4320933	1126458	38.0
"Schweiz"	"26.11.1989 Schweiz ohne Armee"	4320933	1052442	35.6
"Schweiz"	"04.06.1989 Kleinbauern-Initiative"	4302785	741772	48.9
"Schweiz"	"04.12.1988 Begrenzung der Einwanderung"	4285419	731929	32.7
"Schweiz"	"04.12.1988 Herabsetzung Arbeitszeit"	4285419	769264	34.3
"Schweiz"	"04.12.1988 Gegen die Bodenspekulation"	4285419	686398	30.8
"Schweiz"	"12.06.1988 Herabsetzung AHV-Rentenalter"	4267923	624390	35.1
"Schweiz"	"12.06.1988 Koordinierte Verkehrspolitik"	4267923	797955	45.5
"Schweiz"	"06.12.1987 Rothenthurm-Initiative"	4250684	1153448	57.8
"Schweiz"	"06.12.1987 Krankenversicherungsgesetz"	4250684	571447	28.7
"Schweiz"	"06.12.1987 Bahn 2000"	4250684	1140857	57.0
"Schweiz"	"05.04.1987 Initiativen mit Gegenentwurf"	4223723	1080992	63.3
"Schweiz"	"05.04.1987 Rüstungsreferendum"	4223723	714209	40.6
"Schweiz"	"05.04.1987 Ausländergesetz"	4223723	1122027	65.7
"Schweiz"	"05.04.1987 Asylgesetz"	4223723	1180082	67.3
"Schweiz"	"07.12.1986 Besteuerung Schwerverkehr"	4210819	485930	33.9
"Schweiz"	"07.12.1986 Mieterschutz"	4210819	922221	64.4
"Schweiz"	"28.09.1986 Zuckerbeschluss"	4203197	547779	38.2
"Schweiz"	"28.09.1986 Berufsbildung und Umschulung"	4203197	261759	18.4
"Schweiz"	"28.09.1986 Gegenentwurf zur Kulturinitiative"	4203197	548081	45.0
"Schweiz"	"28.09.1986 Kulturinitiative"	4203197	232326	18.1
"Schweiz"	"16.03.1986 UNO-Beitritt"	4181276	511713	24.3
"Schweiz"	"01.12.1985 Abschaffung der Vivisektion"	4167376	459358	29.5
"Schweiz"	"22.09.1985 Neues Eherecht"	4160547	921743	54.7
"Schweiz"	"22.09.1985 Innovationsrisikogarantie"	4160547	695288	43.1
"Schweiz"	"22.09.1985 Koordination Schuljahresbeginn"	4160547	984463	58.8
"Schweiz"	"09.06.1985 Selbstversorgung mit Brotgetreide"	4144312	787156	57.0
"Schweiz"	"09.06.1985 Neuverteilung Alkoholabgabe"	4144312	982318	72.3
"Schweiz"	"09.06.1985 Kantonsanteil Stempelabgaben"	4144312	903345	66.5
"Schweiz"	"09.06.1985 Recht auf Leben"	4144312	448016	31.0
"Schweiz"	"10.03.1985 Verlängerung bezahlte Ferien"	4134052	489995	34.8
"Schweiz"	"10.03.1985 Ausbildungsbeiträge"	4134052	651854	47.6
"Schweiz"	"10.03.1985 Beiträge Gesundheitswesen"	4134052	726781	53.0
"Schweiz"	"10.03.1985 Beiträge Primarschulunterricht"	4134052	802882	58.5
"Schweiz"	"02.12.1984 Hilfe für Opfer von Gewaltverbrechen"	4123190	1241377	82.1
"Schweiz"	"02.12.1984 Radio- und Fernsehartikel"	4123190	1001888	68.7
"Schweiz"	"02.12.1984 Mutterschutz-Initiative"	4123190	241442	15.8
"Schweiz"	"23.09.1984 Umweltgerechte Energieversorgung"	4114658	773767	45.8
"Schweiz"	"23.09.1984 Zukunft ohne neue Atomkraftwerke"	4114658	762792	45.0
"Schweiz"	"20.05.1984 Gegen den Ausverkauf der Heimat"	4097762	837997	48.9
"Schweiz"	"20.05.1984 Banken-Initiative"	4097762	464637	27.0
"Schweiz"	"26.02.1984 Zivildienst-Initiative"	4087215	771413	36.2
"Schweiz"	"26.02.1984 Einführung Autobahnvignette"	4087215	1132497	53.0
"Schweiz"	"26.02.1984 Erhebung Schwerverkehrsabgae"	4087215	1254489	58.7
"Schweiz"	"04.12.1983 Erleichterung Einbürgerungen"	4073941	644669	44.8
"Schweiz"	"04.12.1983 Bürgerrechtsregelung"	4073941	872981	60.8
"Schweiz"	"27.02.1983 Energieartikel"	4034694	649485	50.9
"Schweiz"	"27.02.1983 Neuregelung Treibstoffzölle"	4034694	679134	52.7
"Schweiz"	"28.11.1982 Gegenentwurf zur Preisüberwachungs-Initiative"	4022995	281132	24.8
"Schweiz"	"28.11.1982 Preisüberwachungs-Initiative"	4022995	730938	57.9
"Schweiz"	"06.06.1982 Ausländergesetz"	3999674	680404	49.6
"Schweiz"	"06.06.1982 Strafgesetzbuch"	3999674	880880	63.7
"Schweiz"	"29.11.1981 Weiterführung Finanzordnung"	3976769	818327	69.0
"Schweiz"	"14.06.1981 Konsumentenschutzartikel"	3958455	858012	65.5
"Schweiz"	"14.06.1981 Gleichstellung von Mann und Frau"	3958455	797702	60.3
"Schweiz"	"05.04.1981 Neue Ausländerpolitik"	3947890	252531	16.2
"Schweiz"	"30.11.1980 Brotgetreideordnung"	3935792	1012812	63.5
"Schweiz"	"30.11.1980 Alkoholeinnahmen"	3935792	1127595	71.0
"Schweiz"	"30.11.1980 Kantonsanteil Stempelabgaben"	3935792	1059760	67.3
